zh-CN,en-US,,,,,,,,,,,,,,,,,,
（注检）,(Registration Testing),,,,,,,,,,,,,,,,,,
叹号警告标贴,Exclamation Mark Warning Label,,,,,,,,,,,,,,,,,,
0.762*3.2TA1MM-包管试剂针组件,0.762 * 3.2TA1 MM - Packaged Reagent Needle Module,,,,,,,,,,,,,,,,,,
0.762*3.2TA1MM-测序试剂针组件,0.762 * 3.2TA1 MM - Sequencing Reagent Needle Module,,,,,,,,,,,,,,,,,,
0.762*3.2TA1MM-引物试剂针,0.762 * 3.2TA1 MM - Primer Reagent Needle,,,,,,,,,,,,,,,,,,
1、控制软件编码更换,1. Changed the control software code,,,,,,,,,,,,,,,,,,
1、软件编号变更,1. Software version change,,,,,,,,,,,,,,,,,,
1.6x3.2SUS316LMM-纯水试剂针,1.6 x3.2SUS316L MM - Pure Water Reagent Needle,,,,,,,,,,,,,,,,,,
10mm开口扳手头-削薄3mm,10 mm Open-end Wrench Head - Thin 3 mm,,,,,,,,,,,,,,,,,,
1 mL活塞泵IQC检验工艺,IQC Inspection Process for 1 mL Piston Pump,,,,,,,,,,,,,,,,,,
2、新增算法安装包编码,2. Created algorithm installation package code,,,,,,,,,,,,,,,,,,
2、移除工装夹具相关DHF文档,2. Removed DHF documents related to tooling,,,,,,,,,,,,,,,,,,
2000-FDA激光器标贴,2000-FDA Laser Label,,,,,,,,,,,,,,,,,,
2024.1.4,"January 04, 2024",,,,,,,,,,,,,,,,,,
2024.12.01,"December 1, 2024",,,,,,,,,,,,,,,,,,
2025.1.10,"January 10, 2025",,,,,,,,,,,,,,,,,,
2025.2.5,"February 5, 2025",,,,,,,,,,,,,,,,,,
3、增加IVD BOM,3. Added IVD BOM,,,,,,,,,,,,,,,,,,
3、组件装配记录表与整机生产记录表分开并重新申请编码,3. Separated module from whole unit and apply the new part number,,,,,,,,,,,,,,,,,,
4、删除PCR温控定位块,4. Deleted PCR Temp control positioning block,,,,,,,,,,,,,,,,,,
4、增加BCS系统镜像工艺及记录表,4. Created BCS system mirroring process and record,,,,,,,,,,,,,,,,,,
5、增加裁管标定工艺及记录表,5. Created calibration process and record for pipe cutting,,,,,,,,,,,,,,,,,,
5、整机BOM名称修订,5. Revised the name of the whole unit BOM,,,,,,,,,,,,,,,,,,
6、增加装箱单6份,6. Created 6 packing lists,,,,,,,,,,,,,,,,,,
ACS控制器版本3.12,ACS Controller 3.12,,,,,,,,,,,,,,,,,,
AC转接板卡,AC Adapter Board,,,,,,,,,,,,,,,,,,
AF 滤光片座,AF Filter Holder,,,,,,,,,,,,,,,,,,
AF-LED散热片,AF-LED Heat Sink,,,,,,,,,,,,,,,,,,
AF侧边小挡板,AF Side Small Access Panel,,,,,,,,,,,,,,,,,,
AF底板,AF Base Plate,,,,,,,,,,,,,,,,,,
AF二向色镜框,AF Dichroic Mirror Frame,,,,,,,,,,,,,,,,,,
AF反射镜遮光片,AF Reflector Shield,,,,,,,,,,,,,,,,,,
AF反射镜座,AF Reflector Mount,,,,,,,,,,,,,,,,,,
AF盖板,AF Cover Plate,,,,,,,,,,,,,,,,,,
AF筒镜小压圈,AF Cylinder Lens Small Clamping Frame,,,,,,,,,,,,,,,,,,
AF支撑,AF Support,,,,,,,,,,,,,,,,,,
AF直角棱镜座,AF Right Angle Prism Holder,,,,,,,,,,,,,,,,,,
AF直镜筒L84,AF Straight Lens Tube L84,,,,,,,,,,,,,,,,,,
Chuck模块板卡,Chuck Module Board,,,,,,,,,,,,,,,,,,
CoolMPS High-throughput Sequencing Reagent Set (DNBSEQ-G800 SE600) 产品需求文档（PRD）,CoolMPS High-throughput Sequencing Reagent Set (DNBSEQ-G800RS SE600) Product Requirements Document (PRD),,,,,,,,,,,,,,,,,,
CoolMPS高通量测序试剂套装(DNBSEQ-G800)开发文档清单,CoolMPS High-throughput Sequencing Set (DNBSEQ-G800RS) Design History File (DHF) List,,,,,,,,,,,,,,,,,,
CoolMPS高通量测序试剂套装(DNBSEQ-G800RS)开发文档清单,CoolMPS High-throughput Sequencing Reagent Set (DNBSEQ-G800RS) Design History File (DHF) List,,,,,,,,,,,,,,,,,,
DC转接板卡,DC Adapter Board,,,,,,,,,,,,,,,,,,
