zh-CN,en-US
如有需要，首次使用前，可执行一次标准实验流程，以保证仪器的性能符合要求。,"To ensure that the performance of the device meets the specifications, you can perform a standard workflow before initial use as necessary."
表示仪器完好，在运输过程中无强烈碰撞或碰撞程度未超出要求范围。,"Indicates that the device is intact and no strong collision occurs during transportation, or the intensity does not exceed the limit."
标签的状态说明如下：,The following table describes the indicator status on the label:
变红,Red
状态,Indicator status
表示仪器完好，在运输过程中无倾斜或倾斜程度未超出要求范围。,"Indicates that no tilt occurs, or the gradient does not exceed the limit."
表示仪器在运输过程中倾斜，且超出要求范围。,"Indicates that tilt occurs, and the gradient exceeds the limit."
为7年。,"of this device is seven years,"
防倾斜标签,Anti-tilt label
使用期限,service life
仪器的处理,Disposal of the device
或在维护、保养或维修后，经确定仍能保持基本安全性和有效性的产品，可以正常使用。,"Or, if the device is confirmed that it still can work safely and effectively after maintenance, keep using the device."
本仪器的使用期限通过将产品分解为不同部件的方式进行评价确定。,"which is determined by the simulated service life evaluation method. For the date of manufacture, refer to the label on the device."
在使用过程中，应按照本说明书的要求进行维护、保养和维修。,Perform the maintenance according to the requirements mentioned in this guide.
使用期限终止时，请按当地法律法规要求自行报废处理。,Dispose of the end-of-life device according to local regulations.
进行后期处理,Performing the post-sequencing operations
点击完成。,Tap Finish.
打开总仓门，拉出A边的试剂仓抽屉，取出测序试剂槽和清洗试剂槽，推入抽屉。,"Open the general compartment door. Slide the reagent compartment drawer of side A outward, remove the sequencing reagent cartridge and washing cartridge, and slide the drawer inward until it stops."
轻按载片回收仓门的，打开仓门，拉出载片收集盒，取出载片，推入载片收集盒。,"Press on the flow cell retrieval compartment door gently to open the door. Slide the flow cell recycling box outward, remove the flow cell and slide the box inward until it stops."
拉出A边的废液仓抽屉，取出废液桶，推入抽屉，关闭总仓门。,"Slide the waste container drawer of side A outward, remove the waste container, and slide the drawer inward until it stops. Close the general compartment door."
打开仓门并拉出载片收集盒,Opening the door and sliding the flow cell recycling box outward
总仓门自动解锁。,The general compartment door unlocks automatically.
处理废液桶,Disposing of the container
如眼睛或皮肤不慎接触了样本、试剂或废液，请立即用大量清水冲洗，并寻求医生帮助。,"If you accidentally splash sample, reagents or waste liquid on your skin or into your eyes, immediately flush the affected area with large amounts of water and seek medical aid immediately."
在操作过程中，操作者需遵守实验室安全操作规定，并穿戴好个人防护装备（如实验室防护衣，防护眼镜、口罩、手套、头套和鞋套等）。,"Follow the safety standards of your laboratory and wear protective equipment (such as a laboratory coat, protective glasses, mask, gloves, and shoe covers) when using the device."
过期试剂、废液、废弃样本、消耗品等的排放和处理，须遵守所在国家（或地区）的相关规定。,"When disposing of the expired reagents, waste liquid, waste samples, and consumables, comply with local regulations."
确保按照系统操作指南中的要求储存和使用试剂，以免操作不当导致试剂失效，实验失败。,Use and store the reagents according to the system guide. Failure to do so may negatively impact performance.
样本、试剂和 / 或废液中的化学成分会刺激眼睛、皮肤和粘膜。,"Sample, reagents and waste chemicals may cause personal injury through skin, eye, or mucosal contact."
按照实验室及当地法律法规要求，处理耗材和废液。,Dispose of the consumables and waste liquid according to the disposal standards of your laboratory and local laws and regulations.
使用试剂前，请查看其有效期。,Check the expiration date of all reagents before use.
禁止使用过期的试剂。,Do not use expired reagents.
生物安全,Biological safety
如本仪器的任何连接软管或装有液体的装置破损或损坏，请立即停止使用，并联系技术支持。,"If any fluid hose of the device or any component with liquid is broken or damaged, stop using the device or the component immediately, and contact the technical support."
否则，可能导致实验失败。,Doing so may cause inaccurate results.
本说明书中的图形符号说明如下：,The following table describes symbols that are used in this guide:
表示仪器丝印和界面文字,Indicates the printings and on-screen characters on the device
提示操作者按照说明进行操作，如操作不当或不避免，则可能导致轻微或中度伤害,"Indicates that the operator should operate the device by following the instructions. Otherwise, it could result in minor or moderate injury"
提示操作者按照说明进行操作，如操作不当或不避免，则可能导致死亡或严重伤害,"Indicates that the operator should operate the device by following the instructions. Otherwise, it could result in death or serious injury"
提示操作者按照说明进行操作，如操作不当或不避免，则将会导致死亡或严重伤害,"Indicates that the operator should operate the device by following the instructions. Otherwise, it will result in death or serious injury"
提示操作者按照说明进行操作，强调操作步骤中的重要信息或需要操作者特别注意的内容,"Indicates that the operator should pay special attention to the information, and operate the device by following the instructions"
右视图,Right view
提示操作者按照说明进行操作，如操作不当或不避免，则可能存在潜在生物风险,Indicates biological risk. The operator should operate the device by following the instructions
仪器散热。,Ventilates the device.
载片回收仓,Flow cell retrieval compartment
进风口,Ventilation inlet
电源开关,Power switch
用于放置装废载片的载片收集盒。,Holds the flow cell recycling box containing used flow cell (s).
拨至OFF位置时断开电源。,Turn to the OFF position to disconnect from the power supply.
拨至ON位置时接通电源。,Turn to the ON position to connect to the power supply.
接通或断开仪器电源：,Connects to or disconnects from the power supply:
